,Country,Year,Precipitation,Temperature,Occurrences,Entity,Urban (%),Rural (%),HDI,PopTotal,Education,Dengue,Y,X
151,ARG,1992,57.74346666666667,14.058547500000001,0.0,Argentina,87.542,12.458,0.72,33655.151,0.634,0.0,-26.41,-54.58
152,ASM,1992,270.35608333333334,26.933283333333335,0.0,American Samoa,82.789,17.211,0.0,49.593,0.0,0.0,-14.27,-170.58
153,ATG,1992,251.26186666666663,26.44910833333334,0.0,Antigua and Barbuda,35.085,64.915001,0.0,68.42699999999999,0.0,0.0,17.15,-61.8
154,AUS,1992,37.335425,21.585058333333333,58.0,Australia,85.285,14.715,0.868,17485.948,0.8740000000000001,2.0,-9.42,142.54
155,AUT,1992,96.40249166666666,7.438514166666668,0.0,Austria,62.417,37.583,0.805,7830.933000000001,0.6920000000000001,0.0,47.14,16.26
156,BEL,1992,73.29788333333333,10.362680833333334,0.0,Belgium,96.542,3.4579998999999995,0.825,10078.101,0.745,0.0,51.21,4.12
157,BEN,1992,80.42905416666666,27.257,0.0,Benin,35.827,64.172997,0.358,5331.803000000001,0.215,0.0,6.48,2.63
158,BFA,1992,62.742915,27.954616666666666,0.0,Burkina Faso,14.33,85.66999799999999,0.0,9297.113000000001,0.0,0.0,12.42,-3.17
159,BGD,1992,155.82824833333333,24.804474999999996,0.0,Bangladesh,20.61,79.389999,0.402,111221.93800000001,0.268,0.0,24.13,90.29
160,BGR,1992,40.47315666666666,10.551785833333332,0.0,Bulgaria,67.056,32.944,0.691,8676.243,0.635,0.0,42.45,27.31
161,BHS,1992,90.59022499999999,25.075733333333336,0.0,Bahamas,80.293,19.707001,0.0,266.134,0.0,0.0,25.07,-77.34
162,BIH,1992,77.62677500000001,10.316049999999999,0.0,Bosnia and Herzegovina,39.887,60.112999,0.0,4239.154,0.0,0.0,44.67,16.99
163,BLZ,1992,175.330975,25.487083333333334,0.0,Belize,47.059,52.941002000000005,0.657,194.317,0.591,0.0,17.07,-89.14
164,BMU,1992,125.0,22.191649999999996,0.0,Bermuda,100.0,0.0,0.0,61.677,0.0,0.0,32.3,-64.75
165,BOL,1992,98.28617500000001,20.670366666666666,0.0,Bolivia,57.541000000000004,42.458999999999996,0.55,7131.706999999999,0.546,0.0,-17.78,-63.17
166,BRA,1992,140.46835833333333,24.911716666666663,1.0,Brazil,75.444,24.555999999999997,0.622,154564.27800000002,0.48700000000000004,27.0,-27.53,-48.51
167,BRB,1992,219.84204999999997,26.281725000000005,0.0,Barbados,36.643,63.356998,0.718,262.184,0.639,0.0,13.1,-59.62
168,BRN,1992,207.47776666666664,25.58905,0.0,Brunei,67.078,32.922001,0.792,273.96299999999997,0.604,0.0,0.0,0.0
169,BTN,1992,157.1054475,11.377758333333334,0.0,Bhutan,17.962,82.038002,0.0,531.525,0.0,0.0,26.87,90.49
170,CAF,1992,110.97246083333333,23.484275,0.0,Central African Republic,36.986999999999995,63.013000000000005,0.299,3095.8070000000002,0.18899999999999997,0.0,4.37,18.58
171,CAN,1992,38.04415,-7.0189258333333315,0.0,Canada,76.887,23.113001,0.856,28384.35,0.8240000000000001,0.0,46.35,-83.58
172,CHE,1992,131.18588333333335,7.061992499999999,0.0,Switzerland,73.815,26.184998999999998,0.836,6815.376,0.706,0.0,46.22,8.77
173,CHN,1992,46.13151666666667,6.367953333333333,0.0,China,28.2,71.800003,0.521,1204003.9009999998,0.42,1.0,4229614932.0,123684631.0
174,CIV,1992,98.92092000000001,26.292208333333335,0.0,Cote d'Ivoire,40.088,59.911999,0.387,13163.018999999998,0.243,0.0,0.0,0.0
175,CMR,1992,129.0314425,24.27215,0.0,Cameroon,40.817,59.182999,0.43200000000000005,12408.931,0.34299999999999997,0.0,5.96,10.16
176,COG,1992,126.681325,24.191666666666666,0.0,Congo,55.162,44.838001,0.535,2577.035,0.457,0.0,-4.26,15.2
177,COK,1992,110.24245833333333,24.367866666666668,0.0,Cook Islands,58.504,41.495998,0.0,18.714000000000002,0.0,0.0,-21.9,-157.96
178,COL,1992,172.620575,24.675616666666667,0.0,Colombia,70.415,29.584999,0.606,35558.682,0.457,3.0,-4.22,-69.94
179,COM,1992,151.23255833333334,25.41154166666667,0.0,Comoros,28.435,71.565002,0.0,436.44800000000004,0.0,0.0,-11.55,43.39
180,CRI,1992,226.9158166666667,50.822016666666656,0.0,Costa Rica,51.832,48.167999,0.67,3257.466,0.526,0.0,9.99,-84.77
181,CUB,1992,92.76908333333334,25.612299999999994,2.0,Cuba,73.827,26.173000000000002,0.6629999999999999,10733.363000000001,0.627,0.0,23.14,-82.36
182,CYM,1992,99.49974166666668,27.208316666666672,0.0,Cayman Islands,100.0,0.0,0.0,27.404,0.0,0.0,19.29,-81.38
183,CZE,1992,50.24535000000001,8.962725,0.0,Czech Republic,75.03,24.969998999999998,0.728,10353.318000000001,0.612,0.0,49.12,16.59
184,DEU,1992,60.10424166666667,9.78421,0.0,Germany,73.36,26.639999,0.8140000000000001,80046.157,0.715,0.0,47.71,7.77
185,DJI,1992,24.946895833333333,27.635458333333332,2.0,Djibouti,76.161,23.839001,0.0,615.054,0.0,1.0,11.59,43.15
186,DMA,1992,314.7295833333333,25.213124999999994,0.0,Dominica,64.569,35.431,0.0,70.97,0.0,0.0,15.57,-61.32
187,DOM,1992,103.72963333333333,24.340541666666667,0.0,Dominican Republic,55.766999999999996,44.233002,0.612,7468.5509999999995,0.501,0.0,18.52,-69.93
188,DZA,1992,7.452176666666667,22.296033333333337,0.0,Algeria,53.657,46.342999,0.5870000000000001,27181.093999999997,0.405,0.0,36.64,4.21
189,ESP,1992,44.70520833333333,13.352689166666666,0.0,Spain,75.61,24.389999,0.772,39515.511,0.627,0.0,38.06,-1.52
